ProductionOrderID,ProductionLineID,ProductID,ProductionDate,BatchSize,UnitCost,TotalProductionCost
20048,4005,1008,2025-01-27,5979,0.69,4125.51
20049,4007,1011,2024-01-15,1884,1.24,2336.16
20050,4007,1007,2024-11-22,1135,1.86,2111.1
20051,4010,1021,2024-11-11,9236,2.16,19949.76
20052,4005,1005,2025-09-19,3438,2.25,7735.5
20053,4004,1015,2024-06-19,3383,0.79,2672.57
20054,4006,1010,2023-08-23,8710,1.17,10190.7
20055,4004,1019,2024-07-11,5128,0.18,923.04
20056,4006,1002,2025-03-10,6015,1.82,10947.3
20057,4008,1012,2025-01-22,9590,0.13,1246.7
20058,4007,1023,2025-06-15,3957,1.05,4154.85
20059,4008,1011,2024-05-09,5488,2.24,12293.12
20060,4003,1006,2023-03-06,9132,0.9,8218.8
20061,4001,1014,2024-09-24,5353,1.65,8832.45
20062,4001,1005,2024-12-24,8911,0.68,6059.48
20063,4008,1014,2025-03-29,6430,1.79,11509.7
20064,4010,1023,2024-08-06,9152,0.58,5308.16
20065,4002,1016,2023-01-18,5955,0.84,5002.2
20066,4006,1007,2024-05-24,7806,1.71,13348.26
20067,4006,1024,2023-09-20,7695,1.02,7848.9
20068,4002,1008,2025-07-14,5028,1.88,9452.64
20069,4002,1011,2024-12-06,4009,0.46,1844.14
20070,4008,1005,2024-12-10,9042,1.43,12930.06
20071,4007,1008,2024-09-25,5858,1.01,5916.58
20072,4007,1001,2024-09-25,6314,2.22,14017.08
20073,4002,1018,2025-10-05,870,2.27,1974.9
20074,4004,1006,2025-05-23,2861,0.92,2632.12
20075,4006,1016,2023-08-06,3067,2.33,7146.11
20076,4007,1008,2023-07-18,9497,0.23,2184.31
20077,4005,1009,2023-02-27,2713,1.13,3065.69
20078,4007,1008,2025-11-03,9550,0.75,7162.5
20079,4009,1025,2025-04-07,805,0.14,112.7
20080,4006,1022,2023-12-24,8510,1.42,12084.2
20081,4004,1014,2025-04-28,2542,1.18,2999.56
20082,4001,1004,2025-03-01,2855,1.07,3054.85
20083,4002,1001,2023-09-15,6170,1.3,8021.0
20084,4005,1009,2023-04-10,7601,1.08,8209.08
20085,4007,1019,2025-10-14,2361,1.43,3376.23
20086,4009,1004,2023-02-13,2492,0.96,2392.32
20087,4007,1008,2024-07-11,1214,1.02,1238.28
20088,4008,1008,2023-03-24,9794,2.35,23015.9
20089,4006,1009,2025-08-14,4990,2.12,10578.8
20090,4007,1004,2024-05-05,7978,0.23,1834.94
20091,4007,1007,2023-10-23,4305,2.06,8868.3
20092,4010,1001,2023-01-02,8678,2.3,19959.4
20093,4001,1014,2024-05-07,2927,1.8,5268.6
20094,4009,1019,2024-04-26,4770,0.99,4722.3
20095,4007,1024,2023-07-16,3327,0.27,898.29
20096,4006,1023,2024-04-09,2623,0.57,1495.11
20097,4006,1003,2024-02-08,7447,0.89,6627.83
20098,4002,1018,2024-09-23,814,0.29,236.06
20099,4009,1024,2025-09-12,939,0.8,751.2
20100,4003,1015,2025-02-19,5117,2.12,10848.04
20101,4006,1007,2023-10-28,1956,1.01,1975.56
20102,4008,1006,2025-02-02,5319,0.56,2978.64
20103,4001,1020,2023-03-08,1718,1.66,2851.88
20104,4001,1015,2023-07-24,4748,1.86,8831.28
20105,4006,1022,2024-09-19,572,2.16,1235.52
20106,4005,1019,2024-03-05,9519,2.22,21132.18
20107,4010,1011,2025-06-27,7542,0.4,3016.8
20108,4002,1005,2025-04-29,2148,1.62,3479.76
20109,4006,1020,2025-06-16,7475,2.22,16594.5
20110,4002,1003,2024-05-14,8303,2.45,20342.35
20111,4005,1001,2025-11-24,2628,0.87,2286.36
20112,4001,1013,2023-12-09,7765,1.12,8696.8
20113,4009,1012,2025-12-11,1272,0.51,648.72
20114,4006,1003,2023-03-28,1123,0.36,404.28
20115,4008,1003,2023-11-22,3377,1.62,5470.74
20116,4010,1009,2025-08-13,4268,0.38,1621.84
20117,4002,1015,2025-06-20,9822,1.8,17679.6
20118,4005,1024,2024-06-10,7576,1.34,10151.84
20119,4008,1004,2024-12-19,6378,1.96,12500.88
20120,4010,1013,2024-12-20,2210,1.81,4000.1
20121,4007,1024,2025-05-18,1191,1.0,1191.0
20122,4001,1006,2025-04-12,2915,1.02,2973.3
20123,4009,1010,2023-10-04,627,1.88,1178.76
20124,4008,1011,2025-02-27,7494,0.17,1273.98
20125,4008,1008,2025-07-22,819,0.82,671.58
20126,4001,1024,2024-07-30,6283,0.84,5277.72
20127,4003,1017,2024-05-13,5364,1.66,8904.24
20128,4008,1008,2025-10-19,783,0.76,595.08
20129,4009,1006,2025-01-07,942,2.36,2223.12
20130,4010,1024,2024-03-21,5436,0.88,4783.68
20131,4010,1024,2025-07-22,6003,0.21,1260.63
20132,4008,1017,2023-06-09,7393,1.68,12420.24
20133,4008,1014,2025-04-02,4369,1.28,5592.32
20134,4005,1003,2025-04-26,2658,1.94,5156.52
20135,4010,1005,2023-05-08,3623,1.18,4275.14
20136,4002,1008,2025-07-25,2616,2.03,5310.48
20137,4004,1004,2025-08-26,2171,0.24,521.04
20138,4002,1007,2025-07-10,7397,1.33,9838.01
20139,4005,1012,2023-10-18,2241,1.49,3339.09
20140,4009,1006,2023-02-08,9733,0.88,8565.04
20141,4004,1002,2024-06-06,2090,2.49,5204.1
20142,4009,1022,2024-08-17,5460,0.13,709.8
20143,4005,1017,2023-04-02,2815,2.17,6108.55
20144,4002,1016,2023-05-03,8148,0.57,4644.36
20145,4003,1009,2024-08-15,4911,1.49,7317.39
20146,4003,1013,2023-10-29,6098,1.26,7683.48
20147,4004,1018,2024-11-17,6525,1.73,11288.25
20148,4005,1005,2024-05-02,2856,1.91,5454.96
20149,4009,1025,2023-03-09,1917,0.99,1897.83
20150,4006,1020,2023-12-31,8508,0.37,3147.96
20151,4010,1019,2025-08-13,2582,2.35,6067.7
20152,4009,1005,2023-02-25,1883,0.32,602.56
20153,4007,1015,2023-11-11,3597,0.54,1942.38
20154,4008,1001,2025-02-05,9079,1.85,16796.15
20155,4007,1023,2023-07-18,2263,0.58,1312.54
20156,4009,1001,2025-11-22,8173,1.47,12014.31
20157,4008,1021,2023-06-08,1596,2.32,3702.72
20158,4009,1020,2025-11-29,6895,1.72,11859.4
20159,4003,1012,2025-03-25,6748,2.37,15992.76
20160,4005,1018,2025-08-14,8759,2.38,20846.42
20161,4005,1009,2025-06-06,6699,1.76,11790.24
20162,4008,1012,2024-02-22,6805,1.05,7145.25
20163,4008,1012,2023-08-20,7682,0.77,5915.14
20164,4001,1022,2023-08-26,6503,0.27,1755.81
20165,4002,1003,2025-04-25,5852,1.42,8309.84
20166,4003,1005,2024-03-16,3795,1.12,4250.4
20167,4004,1005,2024-01-14,2807,0.73,2049.11
20168,4004,1005,2023-11-18,5288,2.43,12849.84
20169,4001,1001,2024-03-23,9503,1.28,12163.84
20170,4001,1012,2025-01-16,7044,0.21,1479.24
20171,4005,1010,2024-05-17,2452,1.0,2452.0
20172,4007,1025,2024-11-04,5766,2.17,12512.22
20173,4001,1020,2024-06-24,3941,1.41,5556.81
20174,4003,1016,2025-11-22,9467,0.27,2556.09
20175,4010,1025,2025-07-23,8314,2.43,20203.02
20176,4007,1015,2025-01-26,7169,2.05,14696.45
20177,4003,1019,2025-06-12,9149,0.96,8783.04
20178,4007,1004,2024-10-19,4494,1.36,6111.84
20179,4010,1016,2025-09-06,9022,1.64,14796.08
20180,4009,1013,2023-01-29,5570,1.91,10638.7
20181,4010,1024,2023-05-12,8969,2.25,20180.25
20182,4007,1015,2023-11-02,3609,1.92,6929.28
20183,4003,1007,2023-03-23,3302,2.1,6934.2
20184,4007,1001,2025-08-19,2267,0.94,2130.98
20185,4007,1019,2025-08-07,5260,0.61,3208.6
20186,4007,1008,2024-07-19,1832,1.95,3572.4
20187,4004,1003,2025-09-27,1047,0.32,335.04
20188,4009,1025,2025-05-23,3428,1.45,4970.6
20189,4003,1004,2025-04-02,1065,1.91,2034.15
20190,4005,1010,2023-04-17,2296,0.72,1653.12
20191,4003,1016,2023-02-25,5343,1.75,9350.25
20192,4007,1019,2025-08-28,8382,0.88,7376.16
20193,4006,1023,2025-04-22,7467,0.12,896.04
20194,4001,1010,2025-11-10,3916,0.36,1409.76
20195,4010,1006,2024-06-25,5538,0.91,5039.58
20196,4007,1005,2023-12-20,4219,1.62,6834.78
20197,4005,1023,2023-02-14,4779,1.98,9462.42
20198,4004,1010,2024-03-01,1143,1.97,2251.71
20199,4003,1010,2025-05-12,6977,0.63,4395.51
20200,4001,1004,2025-02-07,6513,1.09,7099.17
20201,4005,1011,2023-12-15,3839,1.47,5643.33
20202,4004,1006,2025-07-29,7307,0.55,4018.85
20203,4004,1005,2023-03-16,8789,1.72,15117.08
20204,4010,1017,2024-09-14,1633,0.45,734.85
20205,4005,1012,2024-12-16,8922,2.29,20431.38
20206,4010,1005,2024-08-10,3398,0.51,1732.98
20207,4009,1005,2023-11-23,2148,0.92,1976.16
20208,4002,1024,2024-07-25,8667,1.94,16813.98
20209,4001,1022,2023-01-23,9799,0.94,9211.06
20210,4004,1015,2023-03-30,7428,2.42,17975.76
20211,4010,1005,2023-09-01,1550,1.13,1751.5
20212,4004,1018,2025-06-14,4377,1.03,4508.31
20213,4006,1003,2024-02-06,1848,0.77,1422.96
20214,4001,1006,2025-05-23,3991,1.09,4350.19
20215,4001,1018,2024-07-14,990,0.43,425.7
20216,4006,1024,2023-06-02,3937,2.25,8858.25
20217,4008,1014,2023-02-09,9292,0.19,1765.48
20218,4006,1010,2024-04-16,9014,2.0,18028.0
20219,4008,1021,2025-05-12,3720,2.38,8853.6
20220,4005,1011,2025-11-20,9865,0.71,7004.15
20221,4002,1011,2023-11-17,6026,1.91,11509.66
20222,4008,1023,2025-11-30,5207,1.75,9112.25
20223,4003,1001,2023-12-17,911,1.41,1284.51
20224,4005,1012,2025-08-04,1470,0.1,147.0
20225,4003,1013,2025-02-28,660,0.16,105.6
20226,4009,1018,2025-11-09,9399,1.73,16260.27
20227,4003,1016,2025-10-10,6969,1.39,9686.91
20228,4007,1023,2024-01-20,4674,2.09,9768.66
20229,4010,1008,2025-01-23,8508,1.96,16675.68
20230,4008,1007,2023-07-27,810,2.18,1765.8
20231,4010,1007,2023-10-30,2470,2.29,5656.3
20232,4010,1014,2024-12-06,750,1.58,1185.0
20233,4007,1005,2023-12-13,1262,0.37,466.94
20234,4003,1010,2024-10-19,9759,0.21,2049.39
20235,4001,1009,2025-08-03,1442,2.29,3302.18
20236,4004,1025,2025-04-13,2745,1.71,4693.95
20237,4006,1012,2024-06-17,7988,0.79,6310.52
20238,4005,1015,2023-10-28,7092,0.66,4680.72
20239,4008,1022,2023-06-11,2002,2.4,4804.8
20240,4006,1004,2024-02-07,5089,0.13,661.57
20241,4007,1005,2024-04-12,7202,2.0,14404.0
20242,4004,1001,2024-12-01,7090,1.25,8862.5
20243,4006,1020,2025-10-07,8768,0.81,7102.08
20244,4005,1010,2024-02-14,7017,0.37,2596.29
20245,4006,1015,2025-06-25,5698,0.58,3304.84
20246,4008,1002,2023-02-26,9418,0.21,1977.78
20247,4010,1002,2024-05-27,1307,0.33,431.31
20248,4002,1011,2024-11-21,1186,0.39,462.54
20249,4010,1023,2025-08-15,9170,0.25,2292.5
20250,4003,1001,2023-08-20,9073,1.12,10161.76
20251,4007,1009,2023-05-06,6357,0.69,4386.33
20252,4009,1007,2023-12-05,8153,2.28,18588.84
20253,4010,1001,2023-02-09,3647,1.08,3938.76
20254,4006,1015,2024-05-18,3167,1.13,3578.71
20255,4003,1006,2023-11-05,9010,0.71,6397.1
20256,4009,1010,2023-06-08,6517,1.83,11926.11
20257,4001,1010,2023-05-12,4886,2.11,10309.46
20258,4008,1025,2024-03-01,7654,0.99,7577.46
20259,4004,1019,2023-05-01,3690,1.66,6125.4
20260,4009,1011,2023-01-10,768,0.43,330.24
20261,4006,1006,2023-08-11,1326,0.52,689.52
20262,4007,1006,2025-04-08,2162,2.16,4669.92
20263,4006,1012,2024-07-11,2339,0.74,1730.86
20264,4005,1005,2023-03-06,7624,1.82,13875.68
20265,4008,1009,2025-01-12,4475,0.72,3222.0
20266,4003,1001,2024-10-26,3609,1.66,5990.94
20267,4005,1011,2025-07-01,4093,0.43,1759.99
20268,4004,1005,2024-07-03,9555,0.86,8217.3
20269,4008,1018,2023-01-18,7504,0.7,5252.8
20270,4007,1021,2025-07-11,7316,1.52,11120.32
20271,4006,1013,2025-12-14,2070,0.99,2049.3
20272,4006,1015,2023-12-15,6383,1.16,7404.28
20273,4005,1002,2025-03-06,7379,1.34,9887.86
20274,4003,1006,2025-09-28,8817,0.65,5731.05
20275,4003,1013,2024-03-08,2668,2.01,5362.68
20276,4005,1007,2023-04-29,4080,2.25,9180.0
20277,4004,1001,2024-08-25,9725,1.0,9725.0
20278,4007,1021,2024-07-14,5487,1.31,7187.97
20279,4010,1012,2025-03-28,8861,2.44,21620.84
20280,4006,1011,2025-11-20,2656,2.01,5338.56
20281,4001,1017,2024-05-13,1455,0.66,960.3
20282,4001,1014,2023-12-18,9686,1.77,17144.22
20283,4005,1009,2024-06-15,3009,0.66,1985.94
20284,4005,1014,2024-09-06,993,0.34,337.62
20285,4006,1012,2023-11-07,6670,1.42,9471.4
20286,4004,1010,2024-06-14,7540,1.09,8218.6
20287,4005,1024,2025-06-25,4764,1.41,6717.24
20288,4001,1007,2025-03-29,9342,0.44,4110.48
20289,4008,1018,2024-01-08,794,0.72,571.68
20290,4007,1004,2023-10-14,4143,2.38,9860.34
20291,4006,1001,2024-02-13,4208,1.5,6312.0
20292,4001,1007,2023-10-29,9197,1.4,12875.8
20293,4010,1009,2025-01-16,4379,1.09,4773.11
20294,4008,1015,2023-03-08,9816,2.2,21595.2
20295,4010,1002,2024-12-04,2675,0.43,1150.25
20296,4006,1004,2024-11-10,6051,1.52,9197.52
20297,4001,1008,2023-04-19,5300,0.66,3498.0
20298,4008,1015,2023-11-26,9103,1.27,11560.81
20299,4006,1009,2025-05-13,5776,0.12,693.12
20300,4006,1003,2024-12-13,8668,2.21,19156.28
20301,4009,1006,2023-06-06,6572,1.61,10580.92
20302,4002,1009,2023-12-31,6981,1.28,8935.68
20303,4001,1024,2025-03-19,3524,0.15,528.6
20304,4009,1025,2023-08-15,4634,1.21,5607.14
20305,4006,1012,2024-09-09,5559,0.6,3335.4
20306,4009,1012,2024-05-08,2860,2.4,6864.0
20307,4006,1011,2025-09-08,5815,1.54,8955.1
20308,4003,1014,2023-04-25,8085,2.01,16250.85
20309,4007,1015,2023-07-19,968,1.86,1800.48
20310,4001,1020,2023-02-23,6740,1.69,11390.6
20311,4010,1020,2025-02-06,1635,2.06,3368.1
20312,4010,1024,2025-08-02,8167,1.49,12168.83
20313,4001,1002,2024-08-16,3175,2.21,7016.75
20314,4005,1011,2024-12-27,9988,0.49,4894.12
20315,4009,1006,2025-03-03,857,0.22,188.54
20316,4004,1005,2025-07-14,3102,1.87,5800.74
20317,4007,1014,2023-12-24,9284,0.51,4734.84
20318,4003,1011,2024-07-26,6309,0.99,6245.91
20319,4008,1009,2025-11-07,5201,1.03,5357.03
20320,4009,1007,2024-12-12,1681,1.84,3093.04
20321,4003,1021,2024-01-18,1462,1.13,1652.06
20322,4010,1015,2025-06-17,2086,1.78,3713.08
20323,4009,1014,2025-05-04,8869,0.96,8514.24
20324,4005,1009,2024-12-17,3219,1.6,5150.4
20325,4003,1014,2025-08-23,2816,0.96,2703.36
20326,4003,1022,2025-05-28,6453,0.77,4968.81
20327,4004,1014,2024-06-05,8225,0.42,3454.5
20328,4008,1008,2025-01-14,695,1.98,1376.1
20329,4009,1025,2025-02-28,610,0.5,305.0
20330,4009,1002,2024-02-09,3243,2.47,8010.21
20331,4007,1012,2023-04-08,5439,0.49,2665.11
20332,4004,1013,2025-09-18,9036,1.0,9036.0
20333,4004,1016,2024-09-05,2408,0.92,2215.36
20334,4003,1002,2025-01-17,2397,0.88,2109.36
20335,4008,1002,2024-01-06,3456,1.43,4942.08
20336,4008,1003,2023-02-25,8108,2.03,16459.24
20337,4003,1013,2025-01-12,2203,0.45,991.35
20338,4009,1010,2025-09-02,8421,2.14,18020.94
20339,4007,1007,2025-01-06,5688,2.16,12286.08
20340,4008,1013,2023-01-18,4721,0.69,3257.49
20341,4007,1023,2024-02-14,8896,2.32,20638.72
20342,4002,1018,2024-04-05,9150,0.92,8418.0
20343,4010,1010,2023-03-30,7080,0.7,4956.0
20344,4002,1017,2024-10-09,9403,0.9,8462.7
20345,4004,1002,2023-06-29,7903,1.65,13039.95
20346,4003,1013,2025-04-01,7686,0.58,4457.88
20347,4006,1021,2023-11-14,7886,1.8,14194.8
20348,4002,1020,2024-09-13,2851,2.27,6471.77
20349,4003,1019,2023-11-15,1670,1.68,2805.6
20350,4007,1015,2023-12-09,7381,0.48,3542.88
20351,4003,1019,2025-05-27,1005,2.44,2452.2
20352,4007,1004,2023-05-18,7090,0.25,1772.5
20353,4001,1025,2025-05-26,5100,2.02,10302.0
20354,4003,1005,2024-07-02,3861,1.73,6679.53
20355,4009,1006,2024-12-05,8384,0.99,8300.16
20356,4008,1015,2025-03-08,4469,1.73,7731.37
20357,4009,1013,2025-06-20,4724,2.38,11243.12
20358,4003,1008,2025-12-16,9951,1.41,14030.91
20359,4008,1021,2023-06-12,6149,0.1,614.9
20360,4008,1002,2023-05-17,1349,0.85,1146.65
20361,4002,1011,2024-10-10,7624,2.32,17687.68
20362,4004,1025,2025-03-12,8222,0.62,5097.64
20363,4002,1009,2024-07-04,6973,0.8,5578.4
20364,4008,1006,2023-07-14,693,2.26,1566.18
20365,4010,1003,2025-06-18,1092,1.2,1310.4
20366,4009,1021,2023-11-20,6828,1.76,12017.28
20367,4009,1021,2023-04-26,612,1.16,709.92
20368,4003,1007,2024-04-14,9354,1.73,16182.42
20369,4010,1019,2024-03-21,1676,1.27,2128.52
20370,4002,1018,2025-10-19,7145,2.42,17290.9
20371,4002,1022,2025-09-15,7170,0.67,4803.9
20372,4002,1024,2025-07-24,7221,2.5,18052.5
20373,4009,1003,2023-11-30,9903,1.31,12972.93
20374,4010,1009,2024-02-24,8963,0.91,8156.33
20375,4004,1013,2024-04-10,6555,2.03,13306.65
20376,4003,1004,2025-10-21,7481,0.69,5161.89
20377,4010,1006,2025-10-28,1134,1.65,1871.1
20378,4003,1010,2024-06-01,9392,2.01,18877.92
20379,4009,1024,2025-02-17,9068,0.12,1088.16
20380,4002,1009,2024-03-07,2487,2.12,5272.44
20381,4002,1009,2023-02-24,9132,1.96,17898.72
20382,4006,1020,2023-05-07,8066,0.59,4758.94
20383,4001,1011,2024-05-01,1784,1.04,1855.36
20384,4009,1021,2023-07-19,9450,0.34,3213.0
20385,4006,1016,2024-08-10,6972,2.22,15477.84
20386,4004,1020,2024-01-04,7264,2.45,17796.8
20387,4010,1008,2024-07-17,4963,1.14,5657.82
20388,4002,1014,2023-12-06,6957,1.35,9391.95
20389,4007,1012,2025-12-29,7518,1.34,10074.12
20390,4006,1009,2024-05-13,2850,1.45,4132.5
20391,4005,1005,2024-09-02,6103,0.66,4027.98
20392,4008,1018,2023-07-26,5232,1.85,9679.2
20393,4003,1018,2023-07-08,8819,0.71,6261.49
20394,4003,1024,2023-05-27,4467,1.24,5539.08
20395,4009,1006,2025-10-08,9582,1.67,16001.94
20396,4007,1013,2024-07-14,4420,0.61,2696.2
20397,4001,1011,2024-11-18,1926,0.55,1059.3
20398,4010,1020,2024-01-13,9038,2.14,19341.32
20399,4004,1016,2023-04-27,8577,0.38,3259.26
20400,4004,1012,2023-02-17,2912,0.21,611.52
20401,4008,1002,2025-04-17,1393,1.65,2298.45
20402,4003,1015,2025-09-15,6324,1.75,11067.0
20403,4006,1010,2025-04-10,9016,1.63,14696.08
20404,4006,1007,2025-02-18,3216,2.5,8040.0
20405,4009,1020,2024-07-18,8584,2.24,19228.16
20406,4009,1002,2023-11-19,9009,0.15,1351.35
20407,4004,1010,2024-06-28,2835,1.47,4167.45
20408,4006,1013,2023-12-10,4810,0.13,625.3
20409,4010,1003,2024-03-16,1096,0.98,1074.08
20410,4003,1003,2024-01-30,3392,1.71,5800.32
20411,4003,1002,2023-02-23,7302,0.11,803.22
20412,4009,1015,2024-09-14,7129,1.16,8269.64
20413,4004,1001,2024-05-16,4949,0.31,1534.19
20414,4010,1006,2023-05-09,4356,0.84,3659.04
20415,4006,1009,2023-06-03,9676,1.32,12772.32
20416,4003,1021,2024-11-15,2417,1.21,2924.57
20417,4007,1019,2024-12-09,6569,0.87,5715.03
20418,4008,1014,2023-11-05,1680,2.33,3914.4
20419,4004,1016,2024-05-22,7809,0.6,4685.4
20420,4008,1020,2025-03-07,1827,2.25,4110.75
20421,4008,1021,2024-10-06,1556,0.17,264.52
20422,4004,1013,2023-02-03,7173,1.3,9324.9
20423,4006,1002,2024-02-08,7221,1.09,7870.89
20424,4008,1015,2025-01-30,5805,0.52,3018.6
20425,4007,1004,2024-07-11,1976,1.78,3517.28
20426,4002,1018,2025-02-04,9591,0.99,9495.09
20427,4002,1010,2023-11-14,1914,0.11,210.54
20428,4001,1009,2024-08-31,6377,1.31,8353.87
20429,4008,1007,2024-09-01,5652,1.12,6330.24
20430,4005,1006,2024-08-17,8821,1.3,11467.3
20431,4004,1004,2025-06-03,2901,0.42,1218.42
20432,4010,1002,2023-10-12,3379,1.77,5980.83
20433,4008,1002,2024-03-21,6109,1.24,7575.16
20434,4008,1021,2023-04-11,4381,1.25,5476.25
20435,4001,1005,2024-11-14,5126,1.72,8816.72
20436,4005,1014,2025-03-06,1442,1.19,1715.98
20437,4003,1013,2024-02-22,822,1.55,1274.1
20438,4005,1008,2024-06-29,7651,0.55,4208.05
20439,4003,1024,2024-04-09,9831,1.92,18875.52
20440,4009,1001,2025-07-22,6331,0.42,2659.02
20441,4005,1016,2024-11-25,6246,0.4,2498.4
20442,4005,1023,2025-02-22,5910,0.62,3664.2
20443,4003,1018,2025-02-27,3282,0.52,1706.64
20444,4009,1004,2023-04-11,3529,1.92,6775.68
20445,4005,1019,2023-02-03,905,1.86,1683.3
20446,4003,1002,2024-01-20,860,0.89,765.4
20447,4001,1016,2023-03-01,8856,1.67,14789.52
20448,4006,1018,2024-12-20,8017,1.58,12666.86
20449,4005,1022,2025-08-10,2652,1.79,4747.08
20450,4003,1011,2024-04-21,1779,0.36,640.44
20451,4007,1006,2024-01-25,2467,1.19,2935.73
20452,4003,1015,2023-05-09,1347,1.51,2033.97
20453,4009,1015,2025-04-27,3629,2.01,7294.29
20454,4007,1004,2024-12-05,3823,0.87,3326.01
20455,4003,1013,2025-09-02,8047,2.08,16737.76
20456,4010,1010,2025-07-27,1970,2.16,4255.2
20457,4010,1013,2025-11-25,5215,2.14,11160.1
20458,4004,1007,2024-10-10,4101,0.84,3444.84
20459,4003,1021,2025-06-01,9859,0.12,1183.08
20460,4002,1025,2024-01-24,5388,0.17,915.96
20461,4009,1006,2024-06-14,3168,1.02,3231.36
20462,4002,1019,2025-11-16,7797,1.41,10993.77
20463,4002,1018,2024-09-17,4675,0.39,1823.25
20464,4007,1014,2024-10-17,8958,2.43,21767.94
20465,4010,1018,2025-04-04,8876,2.07,18373.32
20466,4006,1004,2025-01-30,6754,1.34,9050.36
20467,4002,1011,2025-08-27,3821,2.29,8750.09
20468,4007,1019,2024-07-08,626,1.99,1245.74
20469,4001,1024,2024-11-02,2990,1.46,4365.4
20470,4010,1017,2025-01-15,3427,2.34,8019.18
20471,4004,1010,2025-07-21,3380,2.03,6861.4
20472,4001,1021,2023-04-13,6167,1.85,11408.95
20473,4008,1004,2025-08-17,6270,1.95,12226.5
20474,4006,1005,2025-02-20,9423,1.52,14322.96
20475,4001,1013,2025-03-20,3224,2.06,6641.44
20476,4004,1009,2023-03-28,1305,2.48,3236.4
20477,4004,1018,2024-06-01,4168,1.67,6960.56
20478,4010,1014,2025-06-15,6609,0.1,660.9
20479,4005,1021,2023-06-21,3966,1.3,5155.8
20480,4002,1011,2025-12-15,4043,2.12,8571.16
20481,4007,1009,2025-07-02,4753,0.41,1948.73
20482,4008,1021,2024-09-26,4115,2.27,9341.05
20483,4005,1010,2024-09-19,8289,0.17,1409.13
20484,4003,1006,2023-01-01,9157,0.24,2197.68
20485,4008,1004,2025-09-25,2823,2.39,6746.97
20486,4003,1006,2024-02-01,9856,1.73,17050.88
20487,4002,1020,2025-07-14,7134,0.66,4708.44
20488,4002,1019,2024-02-29,3858,2.43,9374.94
20489,4010,1021,2025-09-10,7571,0.47,3558.37
20490,4006,1014,2024-10-20,5603,0.81,4538.43
20491,4005,1002,2024-06-07,9315,1.3,12109.5
20492,4006,1007,2023-10-01,5804,2.01,11666.04
20493,4009,1001,2023-04-08,9028,0.59,5326.52
20494,4001,1016,2023-01-05,7833,2.46,19269.18
20495,4007,1018,2024-05-19,4556,0.9,4100.4
20496,4006,1023,2025-10-31,9170,0.26,2384.2
20497,4002,1002,2025-02-01,1373,1.32,1812.36
20498,4009,1005,2023-04-13,3193,2.07,6609.51
20499,4008,1006,2023-09-02,8731,2.24,19557.44
