InventoryID,WarehouseID,ProductID,OnHand,OnOrder,LastUpdated
30084,5008,1025,3873,295,2024-07-13
30085,5012,1007,350,1459,2023-10-22
30086,5001,1005,15429,1242,2023-02-22
30087,5015,1024,15359,3833,2025-02-17
30088,5008,1004,7182,4311,2024-12-10
30089,5015,1024,7709,1686,2023-10-23
30090,5007,1002,12464,2903,2023-07-06
30091,5012,1011,7272,3820,2025-09-28
30092,5014,1015,4782,3390,2024-04-28
30093,5005,1004,17335,2032,2024-05-03
30094,5001,1001,2611,2318,2023-04-02
30095,5015,1022,6299,4569,2025-02-02
30096,5015,1014,1985,4423,2023-04-30
30097,5001,1005,4004,2116,2025-04-22
30098,5007,1024,4049,4756,2024-11-19
30099,5004,1021,16430,1335,2023-08-21
30100,5006,1008,14561,4477,2023-01-24
30101,5006,1016,17644,2283,2025-01-04
30102,5010,1003,11207,4201,2023-12-09
30103,5007,1001,760,4519,2023-09-11
30104,5007,1015,14699,3018,2023-04-12
30105,5012,1006,16303,4889,2023-08-10
30106,5010,1005,14680,31,2025-06-21
30107,5003,1011,392,3669,2025-08-11
30108,5011,1019,8258,4182,2023-07-08
30109,5008,1022,16654,4853,2025-08-19
30110,5006,1014,13946,4655,2023-06-06
30111,5015,1016,12039,3568,2024-02-16
30112,5004,1025,18458,3183,2023-06-24
30113,5001,1017,13344,4057,2024-05-10
30114,5006,1025,895,1836,2025-10-13
30115,5006,1012,19086,3726,2023-03-16
30116,5002,1016,7677,4876,2024-02-07
30117,5002,1025,1664,4925,2023-12-05
30118,5008,1024,5059,742,2024-02-23
30119,5009,1017,17542,332,2024-03-06
30120,5001,1024,17989,1161,2025-02-05
30121,5007,1013,4597,851,2025-12-14
30122,5011,1021,15549,705,2025-10-28
30123,5005,1014,15566,3847,2024-04-26
30124,5012,1008,2813,3492,2025-09-09
30125,5006,1017,1494,2904,2024-03-04
30126,5003,1014,5078,4285,2025-12-02
30127,5014,1016,13748,3641,2024-01-26
30128,5007,1015,15664,1071,2024-01-06
30129,5005,1015,14001,4846,2025-02-19
30130,5012,1025,9166,3997,2025-09-15
30131,5007,1009,8031,995,2024-09-22
30132,5013,1017,3196,1914,2025-06-07
30133,5010,1016,8796,1276,2023-03-24
30134,5005,1021,2615,1164,2023-07-17
30135,5009,1008,10872,3944,2023-12-11
30136,5001,1021,17303,2396,2025-01-22
30137,5007,1004,16698,2828,2024-10-20
30138,5004,1004,12032,3125,2025-03-04
30139,5005,1009,18916,800,2023-04-05
30140,5004,1016,17910,2400,2025-11-07
30141,5001,1003,4506,2292,2024-03-02
30142,5009,1025,18059,2145,2025-11-12
30143,5010,1017,3669,2733,2024-11-19
30144,5009,1022,6212,3821,2025-12-03
30145,5009,1017,15584,1159,2023-06-24
30146,5013,1007,14939,4036,2023-03-23
30147,5012,1002,17528,3161,2025-02-04
30148,5011,1025,5702,1712,2023-08-10
30149,5011,1016,3981,3817,2024-12-07
30150,5001,1003,9198,4889,2024-07-21
30151,5007,1014,12600,3288,2024-05-27
30152,5012,1015,8646,223,2025-06-09
30153,5002,1005,7541,3762,2023-05-06
30154,5008,1015,1564,2564,2024-10-03
30155,5001,1021,879,671,2025-10-25
30156,5014,1019,18905,3499,2023-07-16
30157,5011,1021,420,2138,2025-04-23
30158,5008,1009,7528,2047,2025-09-25
30159,5002,1004,17005,1262,2023-11-18
30160,5010,1019,17525,1713,2025-08-15
30161,5005,1006,12431,4978,2023-12-01
30162,5004,1016,556,96,2024-02-26
30163,5007,1021,16427,2516,2025-05-21
30164,5002,1003,2486,4407,2024-06-16
30165,5015,1021,2394,1085,2024-11-04
30166,5004,1001,8482,3707,2023-02-12
30167,5013,1023,2239,3537,2023-08-13
30168,5015,1008,8292,316,2023-10-29
30169,5003,1025,10291,3977,2023-07-09
30170,5009,1021,12228,3117,2024-09-06
30171,5013,1024,16713,2911,2025-06-05
30172,5010,1015,3922,4361,2024-12-20
30173,5002,1006,15644,4231,2025-12-01
30174,5001,1022,5428,3126,2024-07-05
30175,5001,1012,19508,1273,2024-04-22
30176,5004,1012,14920,3722,2024-01-06
30177,5015,1024,15648,2962,2025-01-05
30178,5012,1021,18745,978,2023-06-28
30179,5005,1007,6106,2807,2024-03-10
30180,5001,1017,16616,929,2023-05-08
30181,5002,1008,10507,209,2023-12-02
30182,5004,1023,4351,802,2023-08-05
30183,5015,1016,6111,952,2025-12-25
30184,5009,1003,17187,3405,2025-05-30
30185,5002,1022,11779,2262,2024-10-07
30186,5003,1012,15540,4465,2025-01-23
30187,5003,1021,19748,910,2025-11-04
30188,5010,1025,13496,1121,2025-10-27
30189,5013,1013,1366,3713,2024-03-06
30190,5005,1018,14059,3175,2025-04-02
30191,5009,1019,6785,2174,2024-03-23
30192,5008,1004,11438,810,2024-05-22
30193,5015,1005,13092,3225,2025-09-27
30194,5005,1010,2501,4851,2024-10-13
30195,5011,1013,2032,589,2023-05-03
30196,5004,1018,6377,2512,2025-01-07
30197,5002,1010,13012,1321,2025-01-07
30198,5002,1017,6096,788,2025-11-08
30199,5012,1024,10242,3024,2025-11-21
30200,5003,1012,960,2722,2024-06-05
30201,5002,1007,7124,1625,2023-08-17
30202,5002,1012,19468,3349,2025-06-16
30203,5013,1017,4324,4829,2023-01-17
30204,5015,1023,18899,809,2025-07-24
30205,5014,1023,7074,1613,2025-05-12
30206,5002,1025,19175,4525,2024-01-17
30207,5010,1024,8095,3437,2025-09-13
30208,5005,1022,14388,2366,2023-03-30
30209,5011,1006,17329,4683,2025-06-22
30210,5015,1010,18672,4577,2023-10-21
30211,5012,1023,14777,4737,2023-02-11
30212,5007,1005,9602,401,2024-11-01
30213,5007,1023,284,4067,2024-12-26
30214,5015,1024,10080,3049,2025-09-12
30215,5015,1019,9761,3846,2025-05-25
30216,5010,1021,16005,3634,2024-01-13
30217,5010,1001,15300,2831,2025-03-19
30218,5015,1001,16596,1127,2025-09-21
30219,5001,1017,11769,265,2025-11-21
30220,5012,1004,12558,4640,2023-06-02
30221,5011,1004,1161,3726,2025-05-09
30222,5006,1019,14684,2266,2024-01-03
30223,5009,1015,8908,3835,2023-10-08
30224,5011,1009,17968,3877,2024-04-03
30225,5015,1004,5687,2613,2024-06-28
30226,5013,1019,18202,1112,2024-05-31
30227,5012,1021,10842,3102,2025-06-29
30228,5014,1005,16523,2039,2024-05-06
30229,5008,1007,8857,646,2023-09-30
30230,5012,1021,18369,1458,2023-01-13
30231,5009,1019,8496,1266,2025-01-18
30232,5015,1019,5997,957,2023-10-05
30233,5014,1019,8295,2908,2023-07-30
30234,5005,1025,3975,451,2025-11-29
30235,5006,1001,9321,4939,2024-04-24
30236,5008,1009,10364,4740,2024-11-30
30237,5006,1021,9584,803,2024-08-13
30238,5013,1002,19028,4044,2025-09-24
30239,5004,1025,4954,660,2023-09-28
30240,5008,1008,7803,2583,2025-11-03
30241,5014,1002,15188,3016,2024-07-15
30242,5013,1002,19620,2251,2024-06-15
30243,5006,1022,5848,3033,2024-01-17
30244,5013,1002,19591,445,2024-08-27
30245,5008,1007,8138,1366,2023-01-04
30246,5013,1002,4421,661,2025-09-05
30247,5002,1002,6509,1419,2023-08-02
30248,5012,1009,17593,3243,2023-02-05
30249,5001,1009,2625,4232,2023-06-21
30250,5012,1015,16008,1973,2024-06-27
30251,5009,1008,6965,4101,2025-07-29
30252,5005,1018,216,2426,2024-03-10
30253,5004,1022,12116,2278,2024-04-14
30254,5013,1014,4827,1258,2024-05-25
30255,5004,1023,17496,2082,2025-08-31
30256,5001,1019,12383,4041,2024-06-10
30257,5007,1023,1361,4150,2024-08-20
30258,5008,1012,5755,1952,2024-06-02
30259,5013,1024,10403,2916,2024-03-27
30260,5001,1018,14998,1781,2024-05-09
30261,5014,1020,1368,3901,2025-02-19
30262,5010,1014,10126,2805,2025-10-10
30263,5013,1012,689,935,2025-11-05
30264,5006,1016,6664,2047,2025-01-19
30265,5009,1015,19534,3548,2024-08-17
30266,5002,1010,6331,2421,2023-09-25
30267,5006,1002,15910,1889,2023-05-24
30268,5004,1005,9809,2626,2025-02-11
30269,5003,1007,4694,1613,2025-01-15
30270,5003,1006,14371,872,2025-02-19
30271,5010,1012,5836,1168,2023-10-07
30272,5014,1025,4298,4472,2024-04-16
30273,5010,1013,9781,3717,2024-06-24
30274,5011,1021,8601,2476,2025-10-25
30275,5003,1011,19535,1873,2025-03-21
30276,5006,1003,14786,4288,2025-02-15
30277,5013,1015,16747,1601,2024-10-22
30278,5003,1004,1467,1106,2025-04-02
30279,5013,1012,10875,2964,2023-10-03
30280,5011,1011,15246,1345,2023-09-22
30281,5006,1001,18685,4224,2023-03-04
30282,5003,1001,18711,2585,2025-09-26
30283,5005,1022,14530,1801,2025-02-17
30284,5003,1007,12896,1667,2023-08-16
30285,5015,1020,18443,1661,2023-01-24
30286,5014,1002,3603,3750,2024-05-27
30287,5009,1001,1507,4103,2024-10-02
30288,5012,1008,17446,173,2024-06-04
30289,5014,1006,11364,1208,2023-03-09
30290,5009,1022,12953,2773,2025-05-08
30291,5004,1022,11630,4896,2023-05-28
30292,5006,1006,9333,430,2023-03-04
30293,5013,1011,4302,3001,2023-07-16
30294,5004,1006,7634,1111,2025-02-09
30295,5013,1016,19481,2618,2025-07-02
30296,5013,1011,17014,4111,2023-01-30
30297,5009,1003,73,2965,2023-11-24
30298,5009,1014,4245,3893,2024-01-08
30299,5002,1018,15011,297,2024-07-30
30300,5007,1007,9939,2402,2024-11-20
30301,5008,1012,3861,568,2024-05-06
30302,5009,1023,7294,1996,2025-06-06
30303,5007,1017,9522,4538,2024-11-11
30304,5005,1009,19593,3919,2025-12-21
30305,5012,1004,2675,761,2025-05-20
30306,5002,1003,19005,4866,2023-05-27
30307,5012,1010,19620,1064,2024-01-23
30308,5015,1019,14369,3999,2025-04-26
30309,5008,1020,3725,1974,2025-02-01
30310,5003,1021,17683,1524,2024-05-27
30311,5006,1009,2946,1638,2025-01-27
30312,5007,1007,6685,2513,2025-06-21
30313,5014,1002,3844,32,2023-12-17
30314,5010,1015,14097,4666,2025-04-14
30315,5013,1022,15472,1605,2025-06-26
30316,5013,1004,7951,4832,2025-06-27
30317,5002,1009,11417,1700,2023-03-27
30318,5006,1024,16088,2351,2023-06-25
30319,5005,1011,11446,614,2023-07-05
30320,5002,1006,1611,1981,2025-10-16
30321,5008,1010,4285,4670,2025-07-12
30322,5012,1013,4044,2343,2023-12-01
30323,5006,1003,1659,2189,2023-03-10
30324,5005,1007,17880,3520,2023-08-11
30325,5010,1019,544,4238,2023-12-01
30326,5010,1018,19437,4433,2024-12-24
30327,5004,1002,1222,2332,2023-02-02
30328,5012,1008,17481,630,2025-06-16
30329,5012,1007,13799,3363,2024-09-22
30330,5011,1004,13330,2978,2024-02-08
30331,5010,1010,16030,3215,2025-01-17
30332,5007,1016,8637,2435,2023-07-31
30333,5009,1020,13261,1244,2024-09-26
30334,5002,1024,18170,1110,2025-12-08
30335,5005,1013,8344,3057,2025-04-24
30336,5003,1002,6059,4513,2023-03-17
30337,5008,1018,16182,4097,2025-07-15
30338,5011,1010,12727,2158,2025-07-16
30339,5009,1007,14383,2653,2023-06-25
30340,5009,1018,4270,1224,2024-04-13
30341,5002,1018,8916,1253,2023-12-22
30342,5007,1025,12064,1251,2024-08-10
30343,5002,1025,4700,2520,2025-06-21
30344,5008,1016,17432,4825,2025-08-05
30345,5013,1019,1264,853,2025-12-09
30346,5009,1025,12031,2102,2024-09-01
30347,5003,1009,19930,2878,2025-10-04
30348,5013,1008,13633,3246,2023-02-15
30349,5007,1024,11298,801,2024-10-14
30350,5010,1012,5995,152,2025-06-25
30351,5012,1005,17514,3723,2023-01-27
30352,5011,1020,5296,3595,2023-02-08
30353,5004,1014,8392,2235,2024-06-05
30354,5006,1021,8668,3117,2024-01-31
30355,5008,1007,7324,4474,2023-07-20
30356,5015,1014,12690,2208,2023-05-25
30357,5005,1025,2007,1175,2023-07-02
30358,5003,1016,2128,3068,2024-11-22
30359,5004,1003,13611,1408,2025-11-28
30360,5003,1023,3183,2589,2024-01-01
30361,5007,1001,6993,3700,2024-02-25
30362,5011,1002,124,731,2025-06-15
30363,5010,1016,17225,3152,2025-09-27
30364,5006,1016,16975,131,2024-09-11
30365,5001,1009,4622,2007,2023-09-23
30366,5003,1021,2600,4501,2024-09-06
30367,5012,1022,17925,2564,2025-01-12
30368,5002,1003,7725,4584,2024-10-27
30369,5001,1023,14919,4539,2024-12-23
30370,5005,1010,8455,3513,2023-08-02
30371,5003,1004,5383,1703,2024-03-25
30372,5005,1024,18991,3920,2023-01-20
30373,5002,1007,17070,2505,2023-06-14
30374,5007,1024,12375,882,2023-08-04
30375,5008,1025,6162,2284,2024-05-17
30376,5006,1011,2609,1446,2025-01-11
30377,5006,1004,18384,4697,2023-02-21
30378,5010,1013,7479,3183,2023-01-09
30379,5014,1012,4653,3657,2025-08-05
30380,5002,1010,11995,3542,2025-02-01
30381,5001,1016,18806,2851,2023-05-04
30382,5014,1010,3037,4695,2024-10-23
30383,5015,1021,15601,1642,2024-08-09
30384,5012,1001,18306,846,2025-05-20
30385,5014,1020,17570,1285,2024-04-06
30386,5005,1021,5189,1189,2023-08-18
30387,5002,1005,99,4427,2024-08-01
30388,5007,1019,4998,1784,2025-04-05
30389,5012,1004,13995,80,2025-08-04
30390,5006,1013,16970,4388,2024-09-04
30391,5002,1016,11422,3190,2023-05-19
30392,5003,1004,19834,517,2024-01-10
30393,5003,1022,2799,3196,2023-12-06
30394,5001,1005,16325,90,2024-11-09
30395,5014,1023,18264,4142,2025-01-03
30396,5002,1013,16856,1241,2024-08-17
30397,5012,1010,7784,1077,2025-02-04
30398,5007,1021,10859,3245,2024-05-02
30399,5009,1025,7324,2550,2024-04-23
30400,5003,1013,1762,4433,2024-02-06
30401,5008,1003,15293,4897,2025-08-23
30402,5008,1011,6555,2671,2024-01-03
30403,5002,1015,5316,3149,2024-01-05
30404,5009,1017,2783,340,2025-10-22
30405,5011,1008,4245,1319,2024-04-28
30406,5009,1012,19300,4874,2023-04-14
30407,5002,1020,6714,2500,2023-02-14
30408,5011,1019,17422,658,2023-09-06
30409,5008,1012,19446,4997,2024-03-24
30410,5011,1006,6089,3367,2023-08-17
30411,5012,1018,1446,3330,2024-12-15
30412,5007,1001,17322,2711,2024-03-10
30413,5010,1021,19742,1769,2023-05-18
30414,5008,1013,2786,3856,2025-11-25
30415,5002,1023,1080,4551,2025-04-27
30416,5005,1021,2200,4817,2025-09-23
30417,5001,1018,8499,2517,2025-02-24
30418,5013,1005,4888,1068,2023-11-24
30419,5010,1006,17492,4936,2023-08-30
30420,5011,1011,14490,3878,2025-05-16
30421,5009,1012,10414,3978,2023-04-26
30422,5013,1023,8654,4322,2024-09-01
30423,5005,1002,19572,1751,2024-06-05
30424,5003,1003,6183,4000,2024-09-08
30425,5010,1004,2284,3246,2025-01-29
30426,5008,1015,4690,4808,2023-01-09
30427,5004,1011,7450,3701,2024-12-21
30428,5001,1012,3630,632,2024-04-16
30429,5004,1017,11826,1783,2024-04-16
30430,5001,1003,15239,4983,2024-11-29
30431,5003,1008,8219,2840,2023-04-24
30432,5012,1024,19049,3306,2023-02-18
30433,5005,1008,7526,3639,2024-08-27
30434,5006,1013,16295,2032,2025-09-15
30435,5006,1020,9554,1427,2025-08-20
30436,5013,1008,10815,4409,2024-02-17
30437,5007,1007,621,293,2023-11-29
30438,5004,1016,9363,3707,2024-02-20
30439,5007,1019,3673,4513,2023-10-13
30440,5012,1004,2705,1387,2025-04-09
30441,5006,1019,2073,2580,2025-01-07
30442,5002,1018,5343,4115,2023-05-09
30443,5002,1003,9994,2467,2024-06-13
30444,5003,1002,5622,1715,2023-03-27
30445,5008,1004,17928,234,2025-03-14
30446,5004,1023,7275,3671,2025-07-22
30447,5007,1018,16941,3447,2023-04-29
30448,5012,1014,394,211,2023-10-25
30449,5007,1005,4974,3094,2023-01-17
30450,5009,1009,5958,4175,2023-12-26
30451,5015,1002,2179,700,2025-12-11
30452,5001,1017,1522,536,2025-09-11
30453,5012,1003,17468,2370,2023-12-31
30454,5008,1005,12932,4262,2024-09-22
30455,5001,1022,19601,3792,2025-04-10
30456,5014,1016,1747,36,2023-04-21
30457,5007,1013,15484,2336,2025-03-24
30458,5015,1017,345,3581,2023-04-24
30459,5008,1012,18563,2133,2024-03-21
30460,5003,1005,17287,1596,2023-06-18
30461,5002,1003,19715,4470,2025-12-19
30462,5015,1016,7653,2245,2025-06-03
30463,5014,1014,9107,588,2025-05-05
30464,5002,1021,16166,718,2023-06-27
30465,5004,1004,2424,4616,2023-05-23
30466,5011,1015,4744,3431,2023-02-21
30467,5001,1002,8804,3047,2023-11-19
30468,5004,1020,6105,1018,2024-07-05
30469,5005,1002,10508,4953,2025-03-27
30470,5013,1024,7426,1335,2025-07-02
30471,5003,1005,2238,591,2024-10-14
30472,5009,1013,17689,1095,2025-05-25
30473,5001,1011,3565,3679,2024-03-10
30474,5001,1017,17300,1851,2023-04-18
30475,5013,1010,11712,4900,2023-11-08
30476,5001,1014,14945,4465,2025-10-01
30477,5007,1003,18581,1506,2024-12-06
30478,5014,1019,10436,4963,2024-03-15
30479,5006,1017,11134,234,2025-05-11
30480,5015,1005,15759,3486,2025-10-28
30481,5004,1008,2398,3519,2023-05-23
30482,5015,1002,17692,941,2024-01-08
30483,5013,1002,10622,3471,2024-06-08
30484,5006,1006,19866,1687,2023-08-18
30485,5015,1006,9481,724,2023-11-09
30486,5002,1025,17162,1133,2025-08-23
30487,5012,1011,18108,2784,2025-08-11
30488,5014,1024,16952,4568,2025-09-10
30489,5008,1010,1548,4366,2025-04-08
30490,5007,1013,19816,2828,2023-10-11
30491,5004,1002,18468,522,2024-02-06
30492,5008,1023,14206,1710,2023-04-24
30493,5001,1006,15857,1663,2025-02-18
30494,5010,1013,8891,4353,2024-11-12
30495,5006,1015,13278,2225,2023-03-28
30496,5010,1018,2019,1939,2025-03-24
30497,5005,1020,9637,799,2024-04-13
30498,5009,1008,6430,84,2023-04-25
30499,5009,1022,12141,1899,2023-07-19
30500,5008,1016,10230,2172,2024-07-03
30501,5009,1010,8515,2251,2025-05-13
30502,5011,1020,9131,4210,2023-12-15
30503,5014,1014,6512,1516,2024-08-06
30504,5004,1002,10029,3963,2025-04-18
30505,5006,1013,15739,2225,2023-01-12
30506,5005,1015,7701,241,2023-03-02
30507,5007,1017,12414,1622,2024-10-19
30508,5003,1014,9091,4839,2024-10-12
30509,5002,1002,578,986,2024-01-02
30510,5015,1021,1525,2053,2025-06-06
30511,5013,1016,4957,440,2024-01-26
30512,5013,1009,676,4478,2023-11-10
30513,5008,1005,691,2088,2023-06-06
30514,5006,1020,3246,4941,2025-09-07
30515,5010,1012,16654,2939,2024-01-10
30516,5012,1003,2835,4695,2025-04-11
30517,5012,1002,16707,4592,2025-02-21
30518,5013,1018,12893,588,2024-12-06
30519,5010,1016,1171,1761,2023-06-02
30520,5001,1007,1488,1145,2023-06-05
30521,5013,1021,4581,3823,2023-02-26
30522,5013,1022,5024,4474,2025-07-18
30523,5002,1009,15459,3135,2025-05-20
30524,5011,1017,15451,2274,2025-01-11
30525,5010,1009,16035,2389,2024-03-30
30526,5008,1019,5070,2950,2023-12-21
30527,5003,1023,5067,3245,2024-01-20
30528,5012,1016,2457,4727,2023-04-19
30529,5008,1003,6406,3530,2025-12-01
30530,5012,1012,6905,804,2025-07-31
30531,5013,1004,7465,401,2024-05-09
30532,5004,1012,17928,1838,2023-05-18
30533,5005,1003,890,4288,2024-07-30
30534,5013,1004,19790,881,2024-04-22
30535,5001,1014,18499,1236,2025-06-13
30536,5011,1011,7017,1172,2025-07-11
30537,5008,1014,11076,1700,2025-02-28
30538,5012,1020,9478,3476,2023-01-19
30539,5011,1025,16426,2753,2024-06-07
30540,5003,1002,4785,1219,2025-10-26
30541,5012,1012,6165,3108,2024-01-24
30542,5006,1024,3051,4522,2024-07-22
30543,5001,1006,10069,4236,2025-11-11
30544,5004,1017,163,1818,2023-04-19
30545,5002,1017,14878,2144,2025-04-09
30546,5009,1001,17749,1620,2024-05-07
30547,5007,1017,8360,63,2023-06-01
30548,5002,1025,19076,3440,2025-04-30
30549,5010,1002,6777,1719,2023-03-09
30550,5010,1015,18191,1368,2023-09-06
30551,5014,1006,5098,3162,2023-02-08
30552,5005,1002,1683,309,2025-03-12
30553,5005,1024,14784,292,2024-08-12
30554,5007,1013,10970,4687,2024-11-28
30555,5003,1003,10591,4321,2023-01-12
30556,5002,1016,2732,4556,2023-12-26
30557,5008,1004,6868,1660,2025-01-31
30558,5001,1007,11553,3354,2025-09-18
30559,5002,1002,15417,4966,2023-11-26
30560,5013,1015,8232,4566,2023-09-10
30561,5012,1004,19740,3136,2025-09-19
30562,5003,1022,19957,654,2023-02-14
30563,5006,1023,9008,1946,2023-03-24
30564,5013,1003,6361,2606,2024-08-21
30565,5011,1013,18753,4189,2023-08-04
30566,5004,1016,18783,1304,2023-05-29
30567,5008,1010,5574,3893,2024-04-25
30568,5013,1015,14898,436,2025-03-21
30569,5006,1025,4180,1102,2024-04-05
30570,5001,1021,16081,3501,2024-08-27
30571,5007,1013,589,71,2023-10-28
30572,5003,1015,1030,3077,2024-11-11
30573,5003,1005,17160,3958,2024-01-21
30574,5006,1010,17478,173,2025-02-15
30575,5010,1003,14419,3334,2025-01-05
30576,5015,1014,18228,3705,2025-12-17
30577,5006,1006,8635,3167,2025-12-11
30578,5007,1018,18826,4954,2023-07-25
30579,5003,1018,7975,1535,2024-02-23
30580,5002,1014,12370,4781,2023-04-23
30581,5014,1011,18057,3104,2025-06-16
30582,5007,1004,10040,4893,2025-11-06
30583,5005,1015,522,2528,2024-07-10
30584,5014,1011,7118,1520,2024-06-12
30585,5008,1005,3969,564,2024-01-23
30586,5007,1005,17605,1692,2023-11-04
30587,5005,1011,16396,176,2025-09-07
30588,5014,1003,14932,114,2025-11-19
30589,5014,1010,5315,2392,2023-06-10
30590,5010,1017,5529,1668,2024-05-22
30591,5007,1025,16172,2088,2025-02-03
30592,5001,1024,4251,577,2025-05-01
30593,5015,1024,10240,1681,2024-11-24
30594,5007,1020,14634,3266,2025-09-25
30595,5014,1018,10472,4914,2024-08-08
30596,5011,1023,17680,4451,2024-11-16
30597,5002,1001,7866,1591,2024-04-19
30598,5015,1001,15550,4130,2025-03-10
30599,5010,1018,247,1690,2023-09-23
30600,5011,1010,17838,957,2023-06-30
30601,5003,1021,18357,1368,2023-08-22
30602,5014,1008,2335,3821,2024-07-15
30603,5012,1003,17467,2109,2023-09-21
30604,5003,1015,9843,1847,2023-10-04
30605,5014,1015,231,614,2023-10-03
30606,5012,1005,1916,4942,2025-07-08
30607,5009,1023,10851,2300,2023-06-01
30608,5008,1015,13848,3974,2023-07-22
30609,5004,1009,16246,4052,2023-04-19
30610,5013,1001,8415,4327,2023-07-12
30611,5013,1003,16068,1985,2024-01-20
30612,5006,1002,18775,3346,2024-03-28
30613,5003,1012,6148,3393,2024-11-17
30614,5013,1009,6048,1319,2024-12-29
30615,5009,1018,6627,4795,2024-11-17
30616,5003,1022,4928,2667,2023-01-14
30617,5001,1007,17897,4491,2025-12-25
30618,5015,1001,19280,1167,2025-09-25
30619,5015,1010,11905,2386,2023-09-18
30620,5010,1017,77,1034,2023-12-02
30621,5005,1010,6226,470,2024-09-16
30622,5014,1005,9549,2662,2023-03-28
30623,5015,1014,14250,2977,2023-06-15
30624,5010,1008,16330,3071,2023-09-02
30625,5010,1020,17664,1960,2024-11-18
30626,5013,1015,6862,3862,2024-05-20
30627,5004,1022,18767,3191,2024-07-06
30628,5014,1025,11789,940,2023-03-31
30629,5007,1022,1897,255,2025-04-14
30630,5009,1017,16825,3125,2025-03-11
30631,5010,1011,6207,3971,2025-10-12
30632,5009,1024,12356,3379,2024-02-27
30633,5004,1019,735,1071,2025-04-19
30634,5015,1004,13089,1728,2023-09-02
30635,5005,1024,14409,2699,2024-01-20
30636,5005,1010,13172,1090,2025-09-26
30637,5010,1006,4856,934,2024-07-16
30638,5007,1020,15448,2790,2023-11-23
30639,5015,1020,6437,3383,2023-11-11
